ID	W100	W105	W111	W117	W154	W183	W189	W193	W196	W234	W53	W64	W79	W85	W89	W91
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia endosymbiont of Drosophila simulans	0.0	1	1	2	2	0.0	0.0	1	1	0.0	2	0.0	0.0	3	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia endosymbiont of Folsomia candida	4	3	1	0.0	0.0	3	6	5	4	3	6	2	1	1	3	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia endosymbiont of Onchocerca ochengi	5	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	1	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia endosymbiont of Onchocerca volvulus	1	0.0	0.0	0.0	0.0	1	0.0	1	1	2	0.0	0.0	3	0.0	1	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia endosymbiont of Trichogramma pretiosum	0.0	2	0.0	1	1	0.0	0.0	1	1	0.0	1	1	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia sp. wRi	0.0	0.0	0.0	0.0	0.0	2	2	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus Midichloriaceae	71	22	33	48	41	29	36	46	38	26	22	20	12	8	10	17
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus Midichloriaceae|g__Candidatus Fokinia	27	7	17	11	18	12	20	9	11	14	7	12	3	5	6	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus Midichloriaceae|g__Candidatus Fokinia|s__Candidatus Fokinia solitaria	27	7	17	11	18	12	20	9	11	14	7	12	3	5	6	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus Midichloriaceae|g__Candidatus Midichloria	44	11	12	37	17	14	15	36	27	12	14	6	8	3	4	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus Midichloriaceae|g__Candidatus Midichloria|s__Candidatus Midichloria mitochondrii	44	11	12	37	17	14	15	36	27	12	14	6	8	3	4	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae	199	110	112	126	104	183	149	127	133	94	151	92	73	93	34	64
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Candidatus Phycorickettsia	57	22	21	16	18	35	13	12	19	14	79	11	5	19	3	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Candidatus Phycorickettsia|s__Candidatus Phycorickettsia trachydisci	57	22	21	16	18	35	13	12	19	14	79	11	5	19	3	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Orientia	23	32	12	30	23	47	25	24	16	8	4	24	19	22	5	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Orientia|s__Orientia tsutsugamushi	23	32	12	30	23	47	25	24	16	8	4	24	19	22	5	10
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia	113	56	54	79	62	101	109	91	97	72	68	54	48	50	26	49
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia africae	1	0.0	1	0.0	0.0	1	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia akari	1	5	1	5	4	2	1	1	1	2	1	1	4	4	3	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia amblyommatis	9	0.0	0.0	2	0.0	1	1	0.0	1	2	3	0.0	0.0	0.0	0.0	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia australis	0.0	1	0.0	3	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	1	0.0	1	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia bellii	1	1	1	0.0	5	1	12	6	3	1	0.0	1	4	1	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia canadensis	0.0	2	3	0.0	0.0	3	9	1	0.0	1	1	1	5	2	2	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia conorii	0.0	0.0	0.0	0.0	2	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia endosymbiont of Bemisia tabaci	4	1	1	7	4	6	6	5	2	1	2	1	0.0	1	1	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia endosymbiont of Ixodes scapularis	4	0.0	0.0	1	1	6	2	1	3	2	0.0	0.0	1	1	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia felis	8	2	2	6	1	2	2	1	0.0	8	7	5	0.0	0.0	4	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia heilongjiangensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia helvetica	4	2	0.0	1	1	3	2	3	1	0.0	1	1	1	2	2	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia japonica	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia massiliae	5	0.0	2	1	0.0	3	0.0	1	2	0.0	0.0	3	0.0	1	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia monacensis	0.0	0.0	0.0	0.0	1	1	1	1	0.0	1	0.0	0.0	1	1	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia montanensis	5	4	4	1	0.0	2	1	0.0	0.0	2	1	2	1	4	0.0	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia parkeri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia peacockii	1	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia prowazekii	5	2	1	0.0	3	2	1	1	2	1	1	2	2	0.0	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia raoultii	4	3	2	12	1	7	7	5	9	1	0.0	0.0	2	1	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia rhipicephali	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	2	0.0	1	0.0	0.0	0.0	0.0	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia rickettsii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	1	0.0	0.0	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia sibirica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia slovaca	4	4	5	0.0	2	5	4	3	3	23	1	4	1	0.0	0.0	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia typhi	5	0.0	3	3	15	9	9	6	14	1	4	1	2	1	2	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|s__Rickettsiales bacterium Ac37b	47	4	8	26	6	10	15	13	10	5	2	10	6	3	3	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	274795	87016	38215	56316	25534	54846	55684	36901	37076	26858	13140	117425	74006	84317	13915	53815
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	80540	19188	8078	24970	9610	19909	23361	19307	15376	4795	4799	25344	13389	13557	2602	9873
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter	27372	6824	2866	7756	2151	7226	8561	11534	6558	1632	921	8111	4968	4683	868	3506
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter atlanticus	2293	436	300	581	201	660	679	413	548	156	84	668	354	397	100	307
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter dongtanensis	6270	1690	458	1463	311	1863	1053	465	508	288	132	1590	1207	941	160	615
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter epoxidivorans	1684	483	207	1173	211	918	1791	689	1864	135	90	645	334	363	83	269
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter ishigakiensis	605	149	77	778	86	374	1052	7689	713	86	49	288	147	164	51	141
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter mangrovi	3840	1009	399	761	244	736	912	434	897	254	150	1236	791	733	134	548
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter marensis	2915	782	343	732	244	643	691	389	425	187	73	970	489	504	77	353
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter namhicola	2603	579	272	694	260	600	646	457	460	152	152	740	430	415	68	329
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter sp. B11	4354	1017	503	709	386	780	902	528	616	223	113	1127	728	671	121	530
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Altererythrobacter|s__Altererythrobacter sp. ZODW24	772	205	119	331	86	243	281	185	182	88	51	340	156	216	54	197
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Croceicoccus	4146	1304	683	1237	1559	1622	2435	1072	1283	442	214	1643	1010	1149	241	747
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Croceicoccus|s__Croceicoccus marinus	2341	773	399	664	1358	816	1122	494	694	267	137	970	594	696	151	469
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Croceicoccus|s__Croceicoccus naphthovorans	1681	513	274	544	187	767	1253	549	557	171	72	645	395	434	88	277
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter	20427	5362	2454	9542	2837	5889	6897	3855	4207	1492	1113	7256	3726	4026	859	2991
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter atlanticus	1061	187	121	403	144	255	342	221	240	71	51	301	117	167	49	114
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter flavus	2248	598	307	1111	220	702	799	384	516	141	97	945	448	456	84	295
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter gangjinensis	1912	445	211	649	292	470	584	383	383	107	107	574	283	318	78	259
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter litoralis	4614	1305	616	1672	728	1360	1453	814	838	370	266	1686	920	971	206	755
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter seohaensis	1636	508	239	1966	173	754	891	477	516	133	84	655	348	353	72	256
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter sp. Alg231-14	355	87	51	195	61	98	162	99	86	43	24	164	67	69	38	80
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter sp. HL-111	3261	943	404	849	587	653	670	404	502	240	202	1092	621	704	132	509
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter sp. KY5	1315	327	141	626	184	354	497	277	277	124	88	481	240	275	67	197
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter|s__Erythrobacter sp. YH-07	2036	523	212	1092	205	669	816	404	450	143	85	770	361	406	94	304
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter	18942	3603	1278	3551	2216	2852	2742	1391	1633	810	2168	5445	2244	2307	431	1621
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter HT-58-2	3755	680	225	702	439	546	543	284	339	134	477	986	410	406	60	286
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter neustonensis	3579	705	212	689	390	492	544	316	307	189	404	1218	425	443	91	342
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter sp. CACIAM 03H1	5003	1095	441	888	667	759	692	345	424	253	493	1460	745	785	140	513
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Porphyrobacter|s__Porphyrobacter sp. LM 6	4101	687	276	838	454	708	624	277	340	165	487	1112	447	442	109	302
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	173104	60425	27055	26367	13994	29626	26699	14763	18153	20085	7345	81962	54788	63848	10394	39472
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas	3115	1116	525	607	327	603	625	325	404	375	149	1665	825	898	195	623
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas|s__Blastomonas fulva	626	235	125	130	64	132	121	62	74	97	32	337	163	211	38	153
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas|s__Blastomonas sp. RAC04	650	241	120	116	94	133	138	80	75	67	41	354	153	182	46	122
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium	2701	732	353	771	376	618	683	403	435	220	145	1084	536	608	96	456
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. JL477	2701	732	353	771	376	618	683	403	435	220	145	1084	536	608	96	456
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium	14732	5428	2659	2707	1547	5708	4954	2683	3407	2013	825	6638	4716	4671	924	3475
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium aromaticivorans	2684	971	463	501	254	1145	748	350	514	332	144	1243	1315	865	172	672
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium pentaromativorans	871	301	169	189	139	409	358	214	264	149	59	357	187	259	76	176
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium resinovorum	2792	1085	543	495	309	974	932	497	641	376	189	1258	861	950	179	709
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium sp. P6W	2166	819	391	378	224	709	688	412	470	340	105	1003	612	678	175	525
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium sp. PP1Y	805	295	181	206	124	329	349	197	220	133	50	359	213	255	88	206
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium sp. THN1	2270	775	419	408	237	811	716	396	463	316	132	1095	667	742	103	519
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Rhizorhabdus	1803	1144	587	313	248	412	400	205	258	428	126	1443	1087	1349	230	871
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Rhizorhabdus|s__Rhizorhabdus dicambivorans	1803	1144	587	313	248	412	400	205	258	428	126	1443	1087	1349	230	871
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	16447	9215	4361	4003	2516	5146	4764	2730	3125	3454	1370	11874	11457	9328	1989	6054
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium baderi	665	367	223	165	134	201	217	136	145	125	61	471	407	374	100	245
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium chlorophenolicum	694	326	212	164	127	197	200	126	131	183	64	463	1002	406	95	247
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium cloacae	733	551	277	251	175	352	278	135	203	183	103	646	508	466	116	327
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium herbicidovorans	596	527	175	139	68	152	161	93	89	99	59	356	376	252	78	204
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium hydrophobicum	980	430	225	198	119	248	235	128	154	146	53	603	384	402	68	286
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium indicum	262	133	83	56	43	92	66	35	57	40	27	167	173	143	32	107
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium japonicum	196	132	69	53	38	87	76	33	34	72	28	209	188	150	40	105
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. EP60837	747	366	203	165	83	202	179	115	150	165	67	534	748	575	129	257
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. MI1205	533	354	145	137	91	181	162	89	102	101	40	350	345	287	81	206
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. RAC03	879	412	212	190	90	239	252	148	142	172	70	697	441	424	84	269
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. SCG-1	765	485	184	194	103	237	258	158	147	213	54	664	387	498	95	339
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. SYK-6	1801	865	445	395	240	511	388	264	299	304	100	1097	777	904	190	607
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. TKS	867	393	242	203	125	295	293	129	163	216	89	551	824	455	131	309
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. YBL2	787	473	246	186	149	249	216	121	162	170	67	525	632	438	82	287
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium sp. YG1	841	463	181	210	117	270	204	182	160	189	86	568	483	430	108	282
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium yanoikuyae	1692	965	422	417	273	529	533	291	332	437	174	1274	938	1070	222	686
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	31855	21590	9658	5934	4463	7638	6777	3853	4742	7268	2426	31728	19869	27040	3726	15448
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas hengshuiensis	1900	1056	504	331	252	388	390	197	261	389	130	1900	967	1357	193	841
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas indica	2127	2606	1015	350	258	503	429	210	312	478	160	3477	2410	3123	269	1436
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas koreensis	2273	1132	525	367	263	486	399	242	287	374	114	1703	1166	1358	186	781
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas melonis	743	391	221	147	111	212	173	113	112	195	81	571	364	498	103	325
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas panacis	1794	1019	527	340	266	409	364	225	290	554	148	1568	909	1216	262	850
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sanxanigenens	2017	1451	705	448	358	570	513	328	356	620	224	1885	1292	1598	315	1078
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. Cra20	1726	1057	505	293	243	383	333	206	260	412	120	2455	1156	2259	214	975
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. FARSPH	1375	865	349	264	230	336	347	175	224	318	140	1282	771	1078	166	655
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. JJ-A5	1558	1435	339	251	262	293	265	193	187	283	110	858	574	738	167	432
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. KC8	1103	616	336	278	185	340	323	187	206	262	81	991	585	661	115	485
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. LK11	1501	747	339	292	199	351	318	189	237	307	101	1021	635	780	141	567
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. LM7	1618	960	440	308	212	359	307	178	214	330	112	1880	1083	1968	167	884
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. MM-1	1623	1239	627	386	247	492	443	276	318	390	131	1562	1143	1445	227	854
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas sp. NIC1	646	363	185	131	97	192	148	102	114	153	49	535	321	455	79	296
